heading,image
"Large bow trolling motor battery storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=largebowtrollingmotorbatterystorage-12102023-153101.jpg&Size=52&UILanguageID=EN"""
"Optional head package including holding tank with a pump out system and a pop-up privacy enclosure","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Head-11072024-094038.jpg&Size=52&UILanguageID=EN"""
"Optional removable ski tow bar","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=optskipylon.jpg&Size=52&UILanguageID=EN"""
"Optional driver side swim platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=optSwimplatform.jpg&Size=52&UILanguageID=EN"""
"3 floor seat bases","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=3stdfishingseats-12102023-151106.jpg&Size=52&UILanguageID=EN"""
"Bow Area","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=bowarea-12102023-151707.jpg&Size=52&UILanguageID=EN"""
"Cup holders with USB port","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=cupholderswithUSB-12102023-152119.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with optional Simrad® NSX7 multifunctions screen","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=driverhelm-12102023-152451.jpg&Size=52&UILanguageID=EN"""
"Black folding pedestal mount snack table with cup holders","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=fliptable-12102023-152625.jpg&Size=52&UILanguageID=EN"""
"Electric-filled aerated stern livewell","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=Sternlivewell.jpg&Size=52&UILanguageID=EN"""
