heading,image
"Optional bow storage conversion kit into an aerated livewell and support for 3 rod holders","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Bowconversion-3rods.jpg&Size=52&UILanguageID=EN"""
"Replacing the 2 bow seats by 2 deluxe captain's chairs in option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Deluxebowseats.jpg&Size=52&UILanguageID=EN"""
"Optional snack table","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Snacktable-Moodpack-.jpg&Size=52&UILanguageID=EN"""
"Optional trolling motor installation package","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Trollingmotorpack-22102024-133251.jpg&Size=52&UILanguageID=EN"""
"Optional windscreen","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Windscreen-Moodpack--22102024-134642.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with optional Simrad® NSX7","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Driverhelm-OPTmood-SimradNSX7-.jpg&Size=52&UILanguageID=EN"""
"Standard fishing station","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Fishingstation-22102024-133405.jpg&Size=52&UILanguageID=EN"""
"Integrated cup holders","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Furnitureintegratedcupholders.jpg&Size=52&UILanguageID=EN"""
"Fishing station with an integrated electric-filled livewell (83 L / 22 gal. U.S.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Livewell-22102024-133443.jpg&Size=52&UILanguageID=EN"""
"USB plugs built-in the fishing station","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-USBplugs.jpg&Size=52&UILanguageID=EN"""
