heading,image
"Optional bow rider seat cushions","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Bowcushions.jpg&Size=52&UILanguageID=EN"""
"Optional LED docking light (included with techno package)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Dockinglight-technoPackage--22102024-084123.jpg&Size=52&UILanguageID=EN"""
"Optional Jensen radio system (included with techno package)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio-technopackage--22102024-084210.jpg&Size=52&UILanguageID=EN"""
"Optional stern seat cushion","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Sterncushion.jpg&Size=52&UILanguageID=EN"""
"Optional stern seating area with a livewell underneath","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Sternlivewellmodule.jpg&Size=52&UILanguageID=EN"""
"Telescopic boarding ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Boardlingladder.jpg&Size=52&UILanguageID=EN"""
"Bow platform with storages and livewell","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Bowplatform-livewellcoolerstorage--22102024-084631.jpg&Size=52&UILanguageID=EN"""
"Driver helm (shown with optional sonar)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Helm-OPT-indashsonar-.jpg&Size=52&UILanguageID=EN"""
"In-floor lockable rod organizer for 4 rods","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-In-floorRodStorage-22102024-084838.jpg&Size=52&UILanguageID=EN"""
"Side storages on both sides","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Sidestorages.jpg&Size=52&UILanguageID=EN"""
