heading,image
"Optional pop-up privacy enclosure","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-PrivacyEnclosure-19102017-152842.jpg&Size=52&UILanguageID=EN"""
"Optional rear swim platforms with stainless steel boarding ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-SwimPlatform.jpg&Size=52&UILanguageID=EN"""
"Battery storage (battery not included)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-BatteryNotIncluded2-.jpg&Size=52&UILanguageID=EN"""
"Bow electric-filled aerated livewell (77 L/20 U.S.gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowLivewell-03102019-152159.jpg&Size=52&UILanguageID=EN"""
"Driver helm","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Driverconsole-17102018-101500.jpg&Size=52&UILanguageID=EN"""
"Bow folding fishing seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Fishingseat-17102018-101903.jpg&Size=52&UILanguageID=EN"""
"Glove box integrated in the helm","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GloveBox-17102018-102332.jpg&Size=52&UILanguageID=EN"""
"Built-in floor cooler","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-IceBox.jpg&Size=52&UILanguageID=EN"""
"""L"" seating area at the back, with table","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-LBenchWithTable.jpg&Size=52&UILanguageID=EN"""
"Storage under all lounges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderSeats-03102019-150928.jpg&Size=52&UILanguageID=EN"""
