heading,image
"Optional 160-watt AM/FM/Bluetooth Jensen Stereo with integrated auxiliary input (1/8'') in console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio.jpg&Size=52&UILanguageID=EN"""
"2 folding seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingseats-22102024-092046.jpg&Size=52&UILanguageID=EN"""
"Storages integrated in the bow fishing platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-22102024-092205.jpg&Size=52&UILanguageID=EN"""
"Drawer under driver console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DrawerUnderDriverConsol.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with in-dash Humminbird® Helix 7","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DriverConsole-OPT-Sonar-.jpg&Size=52&UILanguageID=EN"""
"Glove box in console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GloveBox-22102018-132317.jpg&Size=52&UILanguageID=EN"""
"Large lockable rod organizer with tubes for 10 rods in the bow casting platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-BowPlatform-.jpg&Size=52&UILanguageID=EN"""
"Stern electric-filled aerated livewell (77 L/20 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell_170.jpg&Size=52&UILanguageID=EN"""
"Storage under passenger console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderConsole-Passenger-.jpg&Size=52&UILanguageID=EN"""
"Trolling motor plug","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-TrollingMotorPlug-22102018-135636.jpg&Size=52&UILanguageID=EN"""
