heading,image
"Optional bow rider seat cushions","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Bowcushions-22102024-090228.jpg&Size=52&UILanguageID=EN"""
"Optional LED docking light (included with techno package)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-LEDdockinglight-technopackage-.jpg&Size=52&UILanguageID=EN"""
"Optional rocking bench replacing the passenger seat","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Passengerseatmodule.jpg&Size=52&UILanguageID=EN"""
"Optional removable ski pylon","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Removableskipylon.jpg&Size=52&UILanguageID=EN"""
"Optional removable oval table with post","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Snacktable-22102024-090749.jpg&Size=52&UILanguageID=EN"""
"Optional stern seat cushion","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Sterncushion-22102024-090846.jpg&Size=52&UILanguageID=EN"""
"Optional stern seating area with a livewell underneath","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Sternlivewellmodule.jpg&Size=52&UILanguageID=EN"""
"Telescopic boarding ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Boardlingladder.jpg&Size=52&UILanguageID=EN"""
"Glove box","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Glovebox-22102024-091051.jpg&Size=52&UILanguageID=EN"""
"Driver helm (shown with optional Simrad® NSX7 and sonar)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Helm-OPT-simradNSX7andsonar-.jpg&Size=52&UILanguageID=EN"""
