heading,image
"Salle d'habillage amovible, offerte en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-ChangingRoom.jpg&Size=52&UILanguageID=FR"""
"Rangement pour batterie (batterie non incluse)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-BatteryNotIncluded--16102020-101521.jpg&Size=52&UILanguageID=FR"""
"Console conducteur","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Driverconsole-17102018-101500.jpg&Size=52&UILanguageID=FR"""
"Sièges de pêche repliables à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Fishingseat-17102018-101903.jpg&Size=52&UILanguageID=FR"""
"Rangement verrouillable dans le plancher","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FloorRodStorage.jpg&Size=52&UILanguageID=FR"""
"Glacière encastrée dans le plancher","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-IceBox.jpg&Size=52&UILanguageID=FR"""
"Siège en ""L"" à l'arrière avec table","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-LBenchWithTable_194.jpg&Size=52&UILanguageID=FR"""
"Rangement dans le plancher, situé à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearStorage.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné, de 77 L/20 gal. U.S., à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell-03102019-150835.jpg&Size=52&UILanguageID=FR"""
"Rangement sous tous les fauteuils","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-UnderseatStorage-17102018-103324.jpg&Size=52&UILanguageID=FR"""
