heading,image
"Toilette chimique, incluant réservoir et système d'évacuation à pompe, offerte en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Toilet-05102022-113942.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné, de 77 L/20 gal. U.S., à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowLivewell-15102020-145439.jpg&Size=52&UILanguageID=FR"""
"Console conducteur (montrée avec l'écran multifonctions Simrad® NSX9 optionnel - écran de droite)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-05102022-130809.jpg&Size=52&UILanguageID=FR"""
"Console passager avec coffre à gants et rangement en-dessous avec filet extensible","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GloveBox-15102020-151310.jpg&Size=52&UILanguageID=FR"""
"2 sièges d'appoint repliables à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearJumpSeat-05102022-131910.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné, de 64 L/17 gal. U.S., à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearLivewell-15102020-151740.jpg&Size=52&UILanguageID=FR"""
"Plate-forme de pêche à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-ReatPlatform.jpg&Size=52&UILanguageID=FR"""
"2 sièges bimode, de luxe","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Seat-15102020-153642.jpg&Size=52&UILanguageID=FR"""
"Rangement verrouillable dans les panneaux latéraux","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideStorage-05102022-134141.jpg&Size=52&UILanguageID=FR"""
"Poignée chrome intégrée au pare-brise","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-WindshieldHandle.jpg&Size=52&UILanguageID=FR"""
