heading,image
"Coupe-batterie, offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-BatterySwitch.jpg&Size=52&UILanguageID=FR"""
"Radio Jensen de 160 watts AM/FM/Bluetooth avec prise (1/8'') à la console, offerte en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio-04102019-092547.jpg&Size=52&UILanguageID=FR"""
"2 sièges repliables avec charnières protège-doigts","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingseats-22102024-085120.jpg&Size=52&UILanguageID=FR"""
"Plates-formes avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowPlatform_182.jpg&Size=52&UILanguageID=FR"""
"Coffre à gants","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Cubby.jpg&Size=52&UILanguageID=FR"""
"Console conducteur","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DriverConsole-22102024-085603.jpg&Size=52&UILanguageID=FR"""
"Rangement verrouillable pour 6 cannes à pêche dans le plancher","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-In-FloorRodStorage-182.jpg&Size=52&UILanguageID=FR"""
"Filets extensibles sous les consoles","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-NetUnderConsole.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné arrière de 77 L / 20 gal. U.S.","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearLivewell-182.jpg&Size=52&UILanguageID=FR"""
"Rangement latéral","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideStorage-04102019-094518.jpg&Size=52&UILanguageID=FR"""
